Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords
Tirandazi P.; Bamakan S.M.H.; Toghroljerdi A.,"Tirandazi, Peyman (57218874921); Bamakan, Seyed Mojtaba Hosseini (57752611100); Toghroljerdi, Aref (57224933247)",57218874921; 57752611100; 57224933247,A review of studies on internet of everything as an enabler of neuromarketing methods and techniques,2023,Journal of Supercomputing,79,7,,7835,7876,41,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143740247&doi=10.1007%2fs11227-022-04988-1&partnerID=40&md5=f86067eb2a98191341c7285ad71dde9d,"Preserving customers’ expectations and understanding factors affecting their purchasing decisions are crucial in designing effective marketing and advertising strategies. However, constantly and swiftly changing the customers’ interests and consumption behaviors make it inevitable to utilize sophisticated tools and approaches based on advanced technologies. Among them, by measuring the customers’ physiological and neural signals, studying the customers’ cognitive and affective responses to marketing stimuli, neuromarketing provides deep insight into the customers’ motivations, preferences, and decisions. Recently, the internet of everything (IoE) has brought many new opportunities to the industry and has attracted the attention of many researchers in recent years. The main objective of this paper is to address how the IoE would empower neuromarketing techniques. Hence, an in-depth understanding of current research issues as well as emerging trends would help meet this goal. In this paper, a comprehensive review has been done by reviewing numerous journal and conference papers from various academic databases (sciencedirect.com, IEEE Xplore, Springer, Elsevier, Wiley, ACM digital library) based on applying various filtrations on specific keywords to identify and categorize the IoE devices in the neuromarketing field. In particular, we discussed the importance and the applications of IoE gadgets and devices, especially wearable medical technologies in eight neuromarketing techniques. Finally, we described critical existing challenges and limitations in neuromarketing and IoE gadgets that researchers have dealt with in this field of research. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Consumer neuroscience; Customers behavior; Digital marketing; Internet of things; Neuromarketing
Alsharif A.H.; Salleh N.Z.M.; Pilelienė L.; Abbas A.F.; Ali J.,"Alsharif, Ahmed H. (57216488997); Salleh, Nor Zafir Md (57210442397); Pilelienė, Lina (56442735300); Abbas, Alhamzah F. (57217989208); Ali, Javed (57217997019)",57216488997; 57210442397; 56442735300; 57217989208; 57217997019,Current Trends in the Application of EEG in Neuromarketing: A Bibliometric Analysis,2022,Scientific Annals of Economics and Business,69,3,,393,415,22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138600929&doi=10.47743%2fsaeb-2022-0020&partnerID=40&md5=336b11efa75aa3b9a60222ebcaaaa305,"Despite several neuroscience tools existing, electroencephalography (EEG) is the most used and favoured tool among researchers because of its relatively low cost and high temporal resolution. Our study aimed to identify the global academic research trends of the empirical EEG studies in neuromarketing. This paper adopted the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) protocol to identify relevant articles. A bibliometric analysis software (VOSviewer) was used to evaluate thirty open-access articles found in the Scopus database between 2016 and 2020. We found that the USA is the most productive country with five research articles that used the EEG tool in marketing studies, followed by Australia, Italy, and Malaysia with three articles each. According to the most prolific journals in neuromarketing, it has been found that Frontiers in Neuroscience journal (CiteScore 5.4) is the most prolific journal with two articles and 25 total citations, followed by Scientific reports (CiteScore 7.1) with two articles and eighteen total citations, which lead us to infer that the publications’ number does not necessarily reflect the citations’ number. The study provides a profound and comprehensive overview of academic research that used EEG in marketing research. © This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.",Bibliometric analysis; Consumer behavior; Eeg; Neuromarketing; Scopus database.
Maiseli B.; Abdalla A.T.; Massawe L.V.; Mbise M.; Mkocha K.; Nassor N.A.; Ismail M.; Michael J.; Kimambo S.,"Maiseli, Baraka (55869157000); Abdalla, Abdi T. (56177183500); Massawe, Libe V. (36012032100); Mbise, Mercy (6506285430); Mkocha, Khadija (56091119800); Nassor, Nassor Ally (58528561500); Ismail, Moses (57203299086); Michael, James (58528561700); Kimambo, Samwel (58529095400)",55869157000; 56177183500; 36012032100; 6506285430; 56091119800; 58528561500; 57203299086; 58528561700; 58529095400,"Brain–computer interface: trend, challenges, and threats",2023,Brain Informatics,10,1,20,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167402690&doi=10.1186%2fs40708-023-00199-3&partnerID=40&md5=7de0f7b6f8879a5a9e469eb446ddc9ec,"Brain–computer interface (BCI), an emerging technology that facilitates communication between brain and computer, has attracted a great deal of research in recent years. Researchers provide experimental results demonstrating that BCI can restore the capabilities of physically challenged people, hence improving the quality of their lives. BCI has revolutionized and positively impacted several industries, including entertainment and gaming, automation and control, education, neuromarketing, and neuroergonomics. Notwithstanding its broad range of applications, the global trend of BCI remains lightly discussed in the literature. Understanding the trend may inform researchers and practitioners on the direction of the field, and on where they should invest their efforts more. Noting this significance, we have analyzed 25,336 metadata of BCI publications from Scopus to determine advancement of the field. The analysis shows an exponential growth of BCI publications in China from 2019 onwards, exceeding those from the United States that started to decline during the same period. Implications and reasons for this trend are discussed. Furthermore, we have extensively discussed challenges and threats limiting exploitation of BCI capabilities. A typical BCI architecture is hypothesized to address two prominent BCI threats, privacy and security, as an attempt to make the technology commercially viable to the society. © 2023, Springer-Verlag GmbH Germany, part of Springer Nature.",Augmented reality; Brain activity; Brain–computer interface; Machine learning; Neurological disease; Signal processing
,,,"Proceedings of 3rd International Conference on Intelligent Engineering and Management, ICIEM 2022",2022,"Proceedings of 3rd International Conference on Intelligent Engineering and Management, ICIEM 2022",,,,,,999,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136972389&partnerID=40&md5=36b1248ec100be9c4127e6df74b799f5,The proceedings contain 168 papers. The topics discussed include: design for ergonomics: application of single- passenger electric car via design of experiments; detection of breast cancer using machine learning and deep learning methods; automobile insurance fraud detection: an overview; a survey on detection of lung cancer using different image processing techniques; deep learning methods for automatic number plate recognition system: a review; skin cancer detection using machine learning: a survey; transforming education system through artificial intelligence and machine learning; model for retailers with price dependent demand rates; neuromarketing: an emerging domain in the formal education system; design of dual slot microstrip antenna for wireless application; analysis of ancillary services provided by distributed energy resources in smart distribution grid; and grey scale image skeletonization of vein pattern using Hausdroff image binarization technique in biometric security system.,
Costa-Feito A.; Blanco-Moreno S.,"Costa-Feito, Aroa (58242525900); Blanco-Moreno, Sofía (58044150000)",58242525900; 58044150000,Unconscious and Conscious Aspects of Healthy Food Consumption: A Neuromarketing and Artificial Intelligence Approach,2023,Springer Proceedings in Earth and Environmental Sciences,Part F639,,,306,317,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163589062&doi=10.1007%2f978-3-031-25840-4_35&partnerID=40&md5=d94c590c9bd15db98da3a62c9d1283b1,"Consumers’ unconscious perception of packaging is essential, especially regarding food products where people usually have to choose among relatively similar products. In addition, this perception can be affected by the opinions of other users published on social networks. Researchers must set new goals to better understand user behavior through the information they have at their fingertips, and which influences them. The application of neuromarketing and artificial intelligence techniques to packaging has recently gained considerable popularity both, in academia and practice. With the combination of these methodologies, this study explores how people process and communicate healthy food products, and how people’s thoughts and behaviors are informative to other users when it comes to understanding their consumption patterns. Two studies have been carried out. The first one with an eye-tracking technique, in which the attention of 20 participants has been analyzed through first fixation and fixation duration metrics. The second study is based on 448 comments from users who have posted on the social network Instagram. The results obtained show, on the one hand, that healthy statements in food packaging attract unconscious attention, and on the other hand, that healthy claims on food packaging are not enough to achieve consumer satisfaction after purchasing the products. Our study is one of the first to analyze how people perceive unconsciously and consciously healthy products, and how they talk after trying them. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Artificial Intelligence; Eye-tracking; Food packaging; Healthy consumption; Neuromarketing
Al-Nafjan A.; Aldayel M.; Kharrat A.,"Al-Nafjan, Abeer (36940908700); Aldayel, Mashael (55608201500); Kharrat, Amira (58222405700)",36940908700; 55608201500; 58222405700,Systematic Review and Future Direction of Neuro-Tourism Research,2023,Brain Sciences,13,4,682,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156214737&doi=10.3390%2fbrainsci13040682&partnerID=40&md5=cc2cd9962a87c2a763db1377969686c6,"Neuro-tourism is the application of neuroscience in tourism to improve marketing methods of the tourism industry by analyzing the brain activities of tourists. Neuro-tourism provides accurate real-time data on tourists’ conscious and unconscious emotions. Neuro-tourism uses the methods of neuromarketing such as brain–computer interface (BCI), eye-tracking, galvanic skin response, etc., to create tourism goods and services to improve tourist experience and satisfaction. Due to the novelty of neuro-tourism and the dearth of studies on this subject, this study offered a comprehensive analysis of the peer-reviewed journal publications in neuro-tourism research for the previous 12 years to detect trends in this field and provide insights for academics. We reviewed 52 articles indexed in the Web of Science (WoS) core collection database and examined them using our suggested classification schema. The results reveal a large growth in the number of published articles on neuro-tourism, demonstrating a rise in the relevance of this field. Additionally, the findings indicated a lack of integrating artificial intelligence techniques in neuro-tourism studies. We believe that the advancements in technology and research collaboration will facilitate exponential growth in this field. © 2023 by the authors.",artificial intelligence; brain–computer interface; electroencephalography; eye-tracking; neuro-tourism; neuromarketing; neuroscience; tourist emotion
Penrod J.M.,"Penrod, Joshua M. (37034822600)",37034822600,A history of theories of decision-making and technologies for observation in the service of marketing,2023,Journal of Historical Research in Marketing,15,1,,52,75,23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146671830&doi=10.1108%2fJHRM-07-2020-0030&partnerID=40&md5=06fe03cda8e38662b45ad3b4c4a4af75,"Purpose: Brain and behavioral research is a hallmark of knowledge and understanding within modern society and has taken on greater importance in the commercial context; as this area unfolds, the intersection of the science, technology and marketing is an important and topical area for exploration. Design/methodology/approach: This work tracks the parallel history of the technologies and science of the brain because it grows in relevance for the study of marketing and consumer behavior. It is an historical review of the usage of technologies to measure brain activity and behavior, parallel to the development of psychological theories created to account for human decision-making from the 1940s until the present. Findings: This essay presents a new conception of “closure” and “momentum,” as envisioned by social construction of technology and technological momentum theories, arriving at a new concept for inclusion called “convergence” which offers a multifactor explanation for the acceptance, technical implementation and its commercial application. Originality/value: It is an original adaptation of theories from across several fields that yields insight into the integration of science, technology, society and business. © 2023, Emerald Publishing Limited.",Consumer behavior; Decision-making; fMRI; Marketing history; Neuromarketing; Neuroscience
Ishtiaque F.; Mashrur F.R.; Touhidul Islam Miya M.; Rahman K.M.; Vaidyanathan R.; Anwar S.F.; Sarker F.; Mamun K.A.,"Ishtiaque, Farhan (57338965700); Mashrur, Fazla Rabbi (57216693464); Touhidul Islam Miya, Mohammad (58144193800); Rahman, Khandoker Mahmudur (57191348687); Vaidyanathan, Ravi (35570517600); Anwar, Syed Ferhat (57069648100); Sarker, Farhana (24448599500); Mamun, Khondaker A. (57923621700)",57338965700; 57216693464; 58144193800; 57191348687; 35570517600; 57069648100; 24448599500; 57923621700,BCI-based Consumers' Preference Prediction using Single Channel Commercial EEG Device,2022,"Proceedings of 2022 25th International Conference on Computer and Information Technology, ICCIT 2022",,,,43,48,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150207926&doi=10.1109%2fICCIT57492.2022.10054806&partnerID=40&md5=0332629a78e40555c65679584088e931,"Brain-Computer Interface (BCI) technology is used in neuromarketing to learn how consumers respond to marketing stimuli. This helps evaluate the marketing stimuli which is traditionally done using marketing research procedures. BCI-based neuromarketing promises to replace these traditional marketing research procedures which are time-consuming and costly. Although BCI-based neuromarketing has its difficulty as EEG devices are inconvenient for consumer-grade applications. This study is performed to predict consumers' affective attitude (AA) and purchase intention (PI) toward a product using EEG signals. EEG signals are collected using a single channel consumer-grade EEG device from 4 healthy participants while they are subject to 3 different types of marketing stimuli; product, promotion, and endorsement. Multi-domain features are extracted from the EEG signals after pre-processing. 52 features are selected among those using SVM-based Recursive Feature Elimination. SMOTE algorithm is used to balance out the dataset. Support Vector Machine (SVM) is used to classify positive and negative affective attitude and purchase intention. The model manages to achieve an accuracy of 88.2% for affective attitude and 80.4% for purchase intention proving the viability of consumer-grade BCI devices in neuromarketing.  © 2022 IEEE.",Brain Computer Interface; EEG; Machine Learning; Neuromarketing; Signal Processing
Julca-Infantes S.; Cruz-Tirado J.P.; Izaguirre-Torres D.,"Julca-Infantes, Samuel (58497455500); Cruz-Tirado, J.P. (57194466483); Izaguirre-Torres, Delia (57216821741)",58497455500; 57194466483; 57216821741,Emotions and visual preferences of consumers towards native and classic potato (Solanum tuberosum) chips: Comparative study using neurogastronomy and neuromarketing; [Emociones y preferencias visuales de consumidores hacia hojuelas de papas (Solanum tuberosum) nativas y clásicas: Estudio comparativo utilizando neurogastronomía y neuromarketing],2023,Scientia Agropecuaria,14,2,,235,246,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165259767&doi=10.17268%2fsci.agropecu.2023.021&partnerID=40&md5=20b6ba409f396adb684aa76b4fa1cef1,"The use of technological tools, in addition to traditional techniques, to understand consumer emotions and preferences for food products is very important so that product developers have better information for decision-making. This study aimed to use neurogastronomy and neuromarketing tools to study consumers' emotions and visual preferences toward native and classic potato flakes (Solanum tuberosum). Two types of fried flakes were used, classic potato and native potato, with a cost of S/ 6.60 (1.79 USD) and S/ 7.00 (1.90 USD), respectively. Eye Tracking technology and Emotion Analysis were used in the first stage using a mobile phone application. In the second stage, each participant answered a cognitive survey, using the Google form. A hundred consumers aged between 14 and 63 years were used. The survey showed that 45% of consumers indicated their intention to buy the native product rather than the classic product. The neuromarketing results mainly showed a higher proportion of neutrality, and a little lower, in negative emotions of ""skepticism"", ""sadness"" and ""disgust"", especially on the nutritional factor and price. These results, more than contradictory, are complementary since technological tools allow us to know more details about preferences and choices. Consumers intend to consume more native products, if they are more nutritious, more sustainable, cheaper, and benefit the local producer. © 2023 Universidad Nacional de Trujillo. All Rights Reserved.",market research; native potato; neuromarketing; preferences and emotions; strategic decision making
Zhao M.,"Zhao, Meina (56903364700)",56903364700,The impact of cognitive conflict on product-service system value cocreation: An event-related potential perspective,2022,Journal of Cleaner Production,331,,129987,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121146771&doi=10.1016%2fj.jclepro.2021.129987&partnerID=40&md5=272054d81e2486459310b5ca30a9f896,"Product-service systems (PSSs) play a great role in the strategy for manufacturing servitization. The configuration of a product and service is dependent on customer requirements and acceptance, while how much perception value customers can gain is a barrier. The psychological and neural mechanisms of value cocreation are crucial issues for PSS innovation. This study adopts the method of neuromarketing to analyze the impact of the cognitional conflict elicited by the two components with heterogeneous characteristics in PSSs. An event-related potential (ERP) experiment was conducted to present the different amplitudes elicited by the PSS with different levels of matching degree and service sequence. The results confirmed the positive impact of a high-element matching degree and a descending order of service value on PSS value cocreation. The findings suggest a comprehensive and neural understanding of electronic service quality and conflict resolution during the process of PSS value cocreation in electronic commerce, particularly the application of neuroscience and service engineering toward digital product-service system design. © 2021 Elsevier Ltd",Electronic service quality; Perceived value; Product-service system
